"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11"
"126" 0.550000000000001 0.325 0.5 0.001625 1.0325 0.005 23.15 5.45 0.133398 492.75 0.00586375
"127" 0.766 0.316 0.4902 0.00176 1.0316 0.00491 25.688 5.42 0.130730324 550.68 0.00563616
"128" 0.982000000000003 0.307 0.4804 0.001895 1.0307 0.00482 28.226 5.39 0.128062648 608.610000000001 0.00540857
"129" 0.801999999999999 0.298 0.4706 0.00203 1.0298 0.00473 30.764 5.36 0.125394972 666.54 0.00518098
"130" 0.586 0.289 0.4608 0.002165 1.0289 0.00464 33.302 5.33 0.122727296 724.47 0.00495339
"131" 0.370000000000001 0.28 0.451 0.0023 1.028 0.00455 35.84 5.3 0.12005962 782.4 0.0047258
"132" 0.153999999999994 0.271 0.4412 0.002435 1.0271 0.00446 38.3780000000001 5.27 0.117391944 840.330000000002 0.00449820999999999
"133" 0.262000000000001 0.262 0.4314 0.00257 1.0262 0.00437 40.916 5.24 0.114724268 898.26 0.00427061999999999
"134" 0.478000000000003 0.253 0.4216 0.002705 1.0253 0.00428 43.454 5.21 0.112056592 956.190000000001 0.00404303
"135" 0.693999999999998 0.244 0.4118 0.00284 1.0244 0.00419 45.992 5.18 0.109388916 1014.12 0.00381544
"136" 0.910000000000001 0.235 0.402 0.002975 1.0235 0.0041 48.53 5.15 0.10672124 1072.05 0.00358785
"137" 0.873999999999996 0.226 0.3922 0.00311 1.0226 0.00401 51.068 5.12 0.104053564 1129.98 0.00336026
"138" 0.657999999999997 0.217 0.3824 0.003245 1.0217 0.00392 53.606 5.09 0.101385888 1187.91 0.00313267
"139" 0.441999999999999 0.208 0.3726 0.00338 1.0208 0.00383 56.144 5.06 0.098718212 1245.84 0.00290508
"140" 0.226 0.199 0.3628 0.003515 1.0199 0.00374 58.682 5.03 0.096050536 1303.77 0.00267749
"141" 0.189999999999999 0.19 0.353 0.00365 1.019 0.00365 61.22 5 0.09338286 1361.7 0.0024499
"142" 0.406000000000002 0.181 0.3432 0.003785 1.0181 0.00356 63.758 4.97 0.090715184 1419.63 0.00222231
"143" 0.622000000000004 0.172 0.3334 0.00392 1.0172 0.00347 66.296 4.94 0.088047508 1477.56 0.00199472
"144" 0.837999999999999 0.163 0.3236 0.004055 1.0163 0.00338 68.834 4.91 0.085379832 1535.49 0.00176713
"145" 0.945999999999998 0.154 0.3138 0.00419 1.0154 0.00329 71.372 4.88 0.082712156 1593.42 0.00153954
