gw_mix	percop	ratem	kex	kt	kdif	DTsoil 	DTwater	Kpwater	Kpsoil	Kpsed
0.757	0.136	0.4069	0.003785	1.0136	0.00491	70.526	6.89	0.0053496 	1574.11	0.01678807
0.802	0.352	0.0394	0.00122	1.0352	0.00077	15.536	5.54	0.0080172 	318.96	0.00654652
0.361	0.928	0.0737	0.001805	1.0928	0.001085	26.534	7.46	0.0173541 	898.26	0.00677411
0.757	0.136	0.4069	0.003785	1.0982	0.00068	70.526	6.89	0.0053496 	1574.11	0.01678807
0.451	0.352	0.0933	0.002255	1.0352	0.001265	34.994	5.54	0.0186879 	338.27	0.00905001
0.406	0.838	0.0198	0.00203	1.0838	0.00059	30.764	7.16	0.0453647 	48.62	0.00791206
0.352	0.946	0.0884	0.00176	1.0946	0.00122	25.688	7.52	0.0213556 	550.68	0.00518098
0.496	0.658	0.1668	0.00248	1.0658	0.00194	39.224	6.56	0.0426970 	125.86	0.01018796
0.271	0.208	0.2207	0.001355	1.0946	0.00104	38.378	5.27	0.0160203 	840.33	0.00449821
0.793	0.136	0.3481	0.003965	1.0136	0.00059	60.374	7.01	0.0053496 	1342.39	0.01769843
0.793	0.136	0.3481	0.003965	1.0118	0.00068	60.374	7.01	0.0053496 	1342.39	0.01769843
0.262	0.226	0.4118	0.00257	1.0262	0.00113	40.916	5.24	0.0186879 	898.26	0.00427062
0.757	0.982	0.0296	0.004145	1.0757	0.00068	70.526	6.89	0.0053496 	1574.11	0.01678807
0.433	0.316	0.0639	0.002165	1.0316	0.000995	33.302	5.42	0.0146864 	724.47	0.01428458
0.793	0.136	0.3481	0.00059	1.0793	0.00068	60.374	7.01	0.0053496 	1342.39	0.01769843
0.262	0.226	0.2354	0.00131	1.0226	0.00257	17.228	7.16	0.0186879 	898.26	0.00427062
1	0.55	0.01	0.005	1.055	5.00E-04	44.3	7.7	0.0667061 	10	0.022933
0.793	0.136	0.3481	0.003965	1.0136	0.003605	3.692	7.01	0.0053496 	1342.39	0.01769843
1	0.55	0.01	0.005	1.055	5.00E-04	86.6	6.2	0.0000142 	975.5	0.022933
0.262	0.838	0.0786	0.00257	1.0262	0.00113	40.916	5.24	0.0186879 	898.26	0.00427062
0.586	0.739	0.0492	0.004415	1.0739	0.00086	75.602	6.83	0.0106849 	1689.97	0.01633289
0.46	0.37	0.108	0.0023	1.037	0.0014	35.84	5.6	0.0266910 	203.1	0.0092776
0.262	0.874	0.2354	0.00131	1.0874	0.00257	17.228	7.28	0.0240233 	898.26	0.00427062
0.262	0.226	0.2354	0.00419	1.0262	0.00113	40.916	5.24	0.0186879 	898.26	0.00427062
0.226	0.298	0.2942	0.00113	1.0298	0.00311	13.844	5.36	0.0186879 	1129.98	0.00336026
0.262	0.226	0.2354	0.00131	1.0226	0.00257	71.372	5.24	0.0186879 	898.26	0.00427062
0.361	0.172	0.0737	0.001805	1.0172	0.001085	26.534	4.94	0.0173541 	569.99	0.01246386
0.442	0.766	0.0786	0.00221	1.0766	0.00113	34.148	6.92	0.0186879 	743.78	0.01428458
0.685	0.82	0.4755	0.003425	1.082	0.004775	56.99	7.1	0.0133526 	1844.45	0.01496735
